L1  n. (also l) (pl. Ls or l's) 1 twelfth letter of the alphabet. 2 (as a roman numeral) 50.
Look  —v. 1 a (often foll. By at, down, up, etc.) Use one's sight; turn one's eyes in some direction. B turn one's eyes on; examine (looked me in the eyes; looked us up and down). 2 a make a visual or mental search (i'll look in the morning). B (foll. By at) consider, examine (must look at the facts). 3 (foll. By for) search for, seek, be on the watch for. 4 inquire (when one looks deeper). 5 have a specified appearance; seem (look a fool; future looks bleak). 6 (foll. By to) a consider; be concerned about (look to the future). B rely on (look to me for support). 7 (foll. By into) investigate. 8 (foll. By what, where, whether, etc.) Ascertain or observe by sight. 9 (of a thing) face some direction. 10 indicate (emotion etc.) By one's looks. 11 (foll. By that) take care; make sure. 12 (foll. By to + infin.) Aim (am looking to finish it soon). —n. 1 act of looking; gaze, glance. 2 (in sing. Or pl.) Appearance of a face; expression. 3 appearance of a thing (by the look of it). 4 style, fashion (this year's look; the wet look). —int. (also look here!) Calling attention, expressing a protest, etc.  look after attend to; take care of. Look one's age appear as old as one really is. Look back 1 (foll. By on, to) turn one's thoughts to (something past). 2 (usu. With neg.) Cease to progress (he's never looked back). Look down on (or look down one's nose at) regard with contempt or superiority.
Look-alike  n. Person or thing closely resembling another.

Looker  n. 1 person of a specified appearance (good-looker). 2 colloq. Attractive woman.

Looker-on  n. (pl. Lookers-on) spectator.

Look-in  n. Colloq. Chance of participation or success (never gets a look-in).

Looking-glass  n. Mirror.

Lookout  n. 1 watch or looking out (on the lookout). 2 a observation-post. B person etc. Stationed to keep watch. 3 prospect (it's a bad lookout). 4 colloq. Person's own concern (that's your lookout).

Loom1  n. Apparatus for weaving. [old english]

Loom2  v. 1 appear dimly, esp. As a vague and often threatening shape. 2 (of an event) be ominously close. [probably low german or dutch]

Loon  n. 1 a kind of diving bird. 2 colloq. Crazy person (cf. *loony). [old norse]

Loony  slang —n. (pl. -ies) lunatic. —adj. (-ier, -iest) crazy.  looniness n. [abbreviation]

Loony-bin  n. Slang offens. Mental home or hospital.

Loop  —n. 1 a figure produced by a curve, or a doubled thread etc., that crosses itself. B thing, path, etc., forming this figure. 2 similarly shaped attachment used as a fastening. 3 ring etc. As a handle etc. 4 contraceptive coil. 5 (in full loop-line) railway or telegraph line that diverges from a main line and joins it again. 6 skating or aerobatic manoeuvre describing a loop. 7 complete circuit for an electric current. 8 endless band of tape or film allowing continuous repetition. 9 sequence of computer operations repeated until some condition is satisfied. —v. 1 form or bend into a loop. 2 fasten with a loop or loops. 3 form a loop. 4 (also loop the loop) fly in a circle vertically. [origin unknown]

Loophole  n. 1 means of evading a rule etc. Without infringing it. 2 narrow vertical slit in the wall of a fort etc.

Loopy  adj. (-ier, -iest) slang crazy, daft.
Loose  —adj. 1 not tightly held, fixed, etc. (loose handle; loose stones). 2 free from bonds or restraint. 3 not held together (loose papers). 4 not compact or dense (loose soil). 5 inexact (loose translation). 6 morally lax. 7 (of the tongue) indiscreet. 8 tending to diarrhoea. 9 (in comb.) Loosely (loose-fitting). —v. (-sing) 1 free; untie or detach; release. 2 relax (loosed my hold). 3 discharge (a missile).  at a loose end unoccupied. On the loose 1 escaped from captivity. 2 enjoying oneself freely.  loosely adv. Looseness n. Loosish adj. [old norse]

Loose cover  n. Removable cover for an armchair etc.

Loose-leaf  adj. (of a notebook etc.) With pages that can be removed and replaced.

Loosen  v. Make or become loose or looser.  loosen a person's tongue make a person talk freely. Loosen up 1 relax. 2 limber up.

Loot  —n. 1 spoil, booty. 2 slang money. —v. 1 rob or steal, esp. After rioting etc. 2 plunder.  looter n. [hindi]

Lop  v. (-pp-) 1 a (often foll. By off, away) cut or remove (a part or parts) from a whole, esp. Branches from a tree. B remove branches from (a tree). 2 (often foll. By off) remove (items) as superfluous. [old english]

Lope  —v. (-ping) run with a long bounding stride. —n. Long bounding stride. [old norse: related to *leap]

Lop-eared  adj. Having drooping ears. [related to *lob]

Lopsided  adj. Unevenly balanced.  lopsidedness n. [related to *lob]

Loquacious  adj. Talkative.  loquacity n. [latin loquor speak]

Loquat  n. 1 small yellow egg-shaped fruit. 2 tree bearing it. [chinese]

Lord  —n. 1 master or ruler. 2 hist. Feudal superior, esp. Of a manor. 3 peer of the realm or person with the title lord. 4 (lord) (often prec. By the) god or christ. 5 (lord) a prefixed as the designation of a marquis, earl, viscount, or baron, or (to the christian name) of the younger son of a duke or marquis. B (the lords) = *house of lords. —int. (lord, good lord, etc.) Expressing surprise, dismay, etc.  lord it over domineer. [old english, = bread-keeper: related to *loaf1, *ward]

Lord chamberlain  n. Official in charge of the royal household.

Lord chancellor  n. (also lord high chancellor) highest officer of the crown, presiding in the house of lords etc.

Lord chief justice  n. President of the queen's bench division.

Lord lieutenant  n. 1 chief executive authority and head of magistrates in each county. 2 hist. Viceroy of ireland.

Lordly  adj. (-ier, -iest) 1 haughty, imperious. 2 suitable for a lord.  lordliness n.

Lord mayor  n. Title of the mayor in some large cities.

Lord privy seal  n. Senior cabinet minister without official duties.

Lords and ladies  n. Wild arum.

Lord's day  n. Sunday.

Lordship  n. 1 (usu. Lordship) title used in addressing or referring to a man with the rank of lord (your lordship; his lordship). 2 (foll. By over) dominion, rule.

Lord's prayer  n. The our father.

Lords spiritual  n.pl. Bishops in the house of lords.

Lord's supper  n. Eucharist.

Lords temporal  n.pl. Members of the house of lords other than bishops.

Lore  n. Body of traditions and knowledge on a subject or held by a particular group (bird lore; gypsy lore). [old english: related to *learn]

Lorgnette  n. Pair of eyeglasses or opera-glasses on a long handle. [french lorgner to squint]

Lorn  adj. Archaic desolate, forlorn. [old english, past part. Of *lose]

Lorry  n. (pl. -ies) large vehicle for transporting goods etc. [origin uncertain]

Lose  v. (-sing; past and past part. Lost) 1 be deprived of or cease to have, esp. By negligence. 2 be deprived of (a person) by death. 3 become unable to find, follow, or understand (lose one's way). 4 let or have pass from one's control or reach (lost my chance; lost his composure). 5 be defeated in (a game, lawsuit, battle, etc.). 6 get rid of (lost our pursuers; lose weight). 7 forfeit (a right to a thing). 8 spend (time, efforts, etc.) To no purpose.
Loser  n. 1 person or thing that loses, esp. A contest (is a bad loser). 2 colloq. Person who regularly fails.

Loss  n. 1 losing or being lost. 2 thing or amount lost. 3 detriment resulting from losing.  at a loss (sold etc.) For less than was paid for it. Be at a loss be puzzled or uncertain. [probably back-formation from *lost]

Loss-leader  n. Item sold at a loss to attract customers.

Lost  past and past part. Of *lose.

Lost cause  n. Hopeless undertaking.

Lot  n. 1 colloq. (prec. By a or in pl.) A a large number or amount (a lot of people; lots of milk). B colloq. Much (a lot warmer; smiles a lot). 2 a each of a set of objects used to make a chance selection. B this method of deciding (chosen by lot). 3 share or responsibility resulting from it. 4 person's destiny, fortune, or condition. 5 (esp. Us) plot; allotment of land (parking lot). 6 article or set of articles for sale at an auction etc. 7 group of associated persons or things.  cast (or draw) lots decide by lots. Throw in one's lot with decide to share the fortunes of. The (or the whole) lot the total number or quantity. A whole lot colloq. Very much (is a whole lot better). [old english]

Usage  in sense 1a, a lot of is somewhat informal, but acceptable in serious writing, whereas lots of is not acceptable.

Loth  var. Of *loath.

Lothario  n. (pl. -s) libertine. [name of a character in a play]

Lotion  n. Medicinal or cosmetic liquid preparation applied externally. [latin lavo lot- wash]

Lottery  n. (pl. -ies) 1 means of raising money by selling numbered tickets and giving prizes to the holders of numbers drawn at random. 2 thing whose success is governed by chance. [dutch: related to *lot]

Lotto  n. Game of chance like bingo, but with numbers drawn by players instead of called. [italian]

Lotus  n. 1 legendary plant inducing luxurious languor when eaten. 2 a kind of water lily etc., esp. Used symbolically in hinduism and buddhism. [greek lotos]

Lotus-eater  n. Person given to indolent enjoyment.

Lotus position  n. Cross-legged position of meditation with the feet resting on the thighs.

Loud  —adj. 1 strongly audible, noisy. 2 (of colours etc.) Gaudy, obtrusive. —adv. Loudly.  out loud aloud.  loudish adj. Loudly adv. Loudness n. [old english]

Loud hailer  n. Electronic device for amplifying the voice.

Loudspeaker  n. Apparatus that converts electrical signals into sound.

Lough  n. Ir. Lake, arm of the sea. [irish: related to *loch]

Lounge  —v. (-ging) 1 recline comfortably; loll. 2 stand or move about idly. —n. 1 place for lounging, esp.: a a sitting-room in a house. B a public room (e.g. In a hotel). C a place in an airport etc. With seats for waiting passengers. 2 spell of lounging. [origin uncertain]
Lounge bar  n. More comfortable bar in a pub etc.

Lounge suit  n. Man's suit for ordinary day (esp. Business) wear.

Lour  v. (also lower) 1 frown; look sullen. 2 (of the sky etc.) Look dark and threatening. [origin unknown]

Louse  —n. 1 (pl. Lice) parasitic insect. 2 (pl. Louses) slang contemptible person. —v. (-sing) delouse.  louse up slang make a mess of. [old english]

Lousy  adj. (-ier, -iest) 1 colloq. Very bad; disgusting; ill (feel lousy). 2 (often foll. By with) colloq. Well supplied, teeming. 3 infested with lice.  lousily adv. Lousiness n.

Lout  n. Rough-mannered person.  loutish adj. [origin uncertain]

Louvre  n. (also louver) 1 each of a set of overlapping slats designed to admit air and some light and exclude rain. 2 domed structure on a roof with side openings for ventilation etc.  louvred adj. [french lover skylight]

Lovable  adj. (also loveable) inspiring love or affection.

Lovage  n. Herb used for flavouring etc. [french levesche from latin ligusticum ligurian]

Lovat  n. & adj. Muted green. [lovat in scotland]

Love  —n. 1 deep affection or fondness. 2 sexual passion. 3 sexual relations. 4 a beloved one; sweetheart (often as a form of address). B colloq. Form of address regardless of affection. 5 colloq. Person of whom one is fond. 6 affectionate greetings (give him my love). 7 (in games) no score; nil. —v. (-ving) 1 feel love or a deep fondness for. 2 delight in; admire; greatly cherish. 3 colloq. Like very much (loves books). 4 (foll. By verbal noun, or to + infin.) Be inclined, esp. As a habit; greatly enjoy (children love dressing up; loves to run).  fall in love (often foll. By with) suddenly begin to love. For love for pleasure not profit. For the love of for the sake of. In love (often foll. By with) enamoured (of). Make love (often foll. By to) 1 have sexual intercourse (with). 2 archaic pay amorous attention (to). Not for love or money colloq. Not in any circumstances. [old english]

Loveable  var. Of *lovable.

Love affair  n. Romantic or sexual relationship between two people.

Love-bird  n. Parrot, esp. One seeming to show great affection for its mate.

Love bite  n. Bruise made by a partner's biting etc. During lovemaking.

Love-child  n. Child of unmarried parents.

Love-hate relationship  n. Intense relationship involving ambivalent emotions.

Love-in-a-mist  n. Blue-flowered cultivated plant.

Loveless  adj. Unloving or unloved or both.

Love-lies-bleeding  n. Cultivated plant with drooping spikes of purple-red blooms.

Lovelorn  adj. Pining from unrequited love.

Lovely  —adj. (-ier, -iest) 1 colloq. Pleasing, delightful. 2 beautiful. —n. (pl. -ies) colloq. Pretty woman.  lovely and colloq. Delightfully (lovely and warm).  loveliness n. [old english]

Lovemaking  n. 1 sexual play, esp. Intercourse. 2 archaic courtship.

Love-nest  n. Colloq. Secluded retreat for (esp. Illicit) lovers.

Lover  n. 1 person in love with another. 2 person with whom another is having sexual relations. 3 (in pl.) Unmarried couple in love or having sexual relations. 4 person who likes or enjoys a specified thing (music lover).

Love-seat  n. Small sofa in the shape of an s, with two seats facing in opposite directions.

Lovesick  adj. Languishing with love.

Lovey-dovey  adj. Colloq. Fondly affectionate, sentimental.

Loving  —adj. Feeling or showing love; affectionate. —n. Affection; love.  lovingly adv.

Loving-cup  n. Two-handled drinking-cup.

Low1  —adj. 1 not high or tall (low wall). 2 a not elevated in position (low altitude). B (of the sun) near the horizon. 3 of or in humble rank or position (of low birth).
Low2  —n. Sound made by cattle; moo. —v. Make this sound. [old english]

Low-born  adj. Of humble birth.

Lowbrow  —adj. Not intellectual or cultured. —n. Lowbrow person.

Low church  n. Section of the church of england attaching little importance to ritual, priestly authority, and the sacraments.

Low-class  adj. Of low quality or social class.

Low comedy  n. Comedy bordering on farce.

Low countries  n.pl. The netherlands, belgium, and luxembourg.

Low-down  —adj. Mean, dishonourable. —n. Colloq. (prec. By the; usu. Foll. By on) relevant information.

Lower1  —adj. (compar. Of *low1). 1 less high in position or status. 2 situated below another part (lower lip). 3 a situated on less high land (lower egypt). B situated to the south (lower california). 4 (of a mammal, plant, etc.) Evolved to only a slight degree. —adv. In or to a lower position, status, etc.  lowermost adj.

Lower2  v. 1 let or haul down. 2 make or become lower. 3 degrade.

Lower3  var. Of *lour.

Lower case  n. Small letters.

Lower class  n. Working class.

Lower house  n. Larger and usu. Elected body in a legislature, esp. The house of commons.

Lowest  adj. (superl. Of *low1) least high in position or status.

Lowest common denominator  n. 1 math. Lowest common multiple of the denominators of several fractions. 2 the worst or most vulgar common feature of members of a group.

Lowest common multiple  n. Math. Least quantity that is a multiple of two or more given quantities.

Low frequency  n. Frequency, esp. In radio, 30 to 300 kilohertz.

Low gear  n. Gear such that the driven end of a transmission revolves slower than the driving end.

Low-grade  adj. Of low quality.

Low-key  adj. Lacking intensity, restrained.

Lowland  —n. (usu. In pl.) Low-lying country. —adj. Of or in lowland.  lowlander n.

Low-level  adj. (of a computer language) close in form to machine code.

Lowly  adj. (-ier, -iest) humble; unpretentious.  lowliness n.

Low-lying  adj. Near to the ground or sea level.

Low-pitched  adj. 1 (of a sound) low. 2 (of a roof) having only a slight slope.

Low pressure  n. 1 low degree of activity or exertion. 2 atmospheric condition with the pressure below average.

Low-rise  —adj. (of a building) having few storeys. —n. Such a building.

Low season  n. Period of fewest visitors at a resort etc.

Low sunday  n. Sunday after easter.

Low tide  n. (also low water) time or level of the tide at its ebb.

Loyal  adj. 1 (often foll. By to) faithful. 2 steadfast in allegiance etc.  loyally adv. Loyalty n. (pl. -ies). [latin: related to *legal]

Loyalist  n. 1 person who remains loyal to the legitimate sovereign etc. 2 (loyalist) (esp. Extremist) supporter of union between great britain and northern ireland.  loyalism n.

Loyal toast  n. Toast to the sovereign.

Lozenge  n. 1 rhombus. 2 small sweet or medicinal tablet to be dissolved in the mouth. 3 lozenge-shaped object. [french]

Lp  abbr. Long-playing (record).

L-plate  n. Sign bearing the letter l, attached to a vehicle to show that it is being driven by a learner. [from *plate]
Lpo  abbr. London philharmonic orchestra.

Lsd  abbr. Lysergic acid diethylamide, a powerful hallucinogenic drug.

L.s.d.  N. (also £.s.d.) 1 hist. Pounds, shillings, and pence (in former british currency). 2 money, riches. [latin librae, solidi, denarii]

Lse  abbr. London school of economics.

Lso  abbr. London symphony orchestra.

Lt.  Abbr. 1 lieutenant. 2 light.

Ltd.  Abbr. Limited.

Lu  symb. Lutetium.

Lubber  n. Clumsy fellow, lout. [origin uncertain]

Lubricant  n. Substance used to reduce friction.

Lubricate  v. (-ting) 1 apply oil or grease etc. To. 2 make slippery.  lubrication n. Lubricator n. [latin lubricus slippery]

Lubricious  adj. 1 slippery, evasive. 2 lewd.  lubricity n. [latin: related to *lubricate]

Lucerne  n. = *alfalfa. [provençal, = glow-worm, referring to its shiny seeds]

Lucid  adj. 1 expressing or expressed clearly. 2 sane.  lucidity n. Lucidly adv. Lucidness n. [latin lux luc- light]

Lucifer  n. Satan. [latin: related to *lucid, fero bring]

Luck  n. 1 good or bad fortune. 2 circumstances of life (beneficial or not) brought by this. 3 good fortune; success due to chance (in luck; out of luck).  no such luck colloq. Unfortunately not. [low german or dutch]

Luckless  adj. Unlucky; ending in failure.

Lucky  adj. (-ier, -iest) 1 having or resulting from good luck. 2 bringing good luck (lucky charm).  luckily adv.

Lucky dip  n. Tub containing articles varying in value and chosen at random.

Lucrative  adj. Profitable.  lucratively adv. Lucrativeness n. [latin: related to *lucre]

Lucre  n. Derog. Financial gain. [latin lucrum gain]

Luddite  —n. 1 person opposed to industrial progress or new technology. 2 hist. Member of a band of english artisans who destroyed machinery (1811–16). —adj. Of the luddites.  ludditism n. [ned lud, destroyer of machinery]

Ludicrous  adj. Absurd, ridiculous, laughable.  ludicrously adv. Ludicrousness n. [latin ludicrum stage play]

Ludo  n. Simple board-game played with dice and counters. [latin, = i play]

Luff  v. (also absol.) 1 steer (a ship) nearer the wind. 2 raise or lower (a crane's jib). [french, probably from low german]

Lug  —v. (-gg-) 1 drag or carry with effort. 2 pull hard. —n. 1 hard or rough pull. 2 colloq. Ear. 3 projection on an object by which it may be carried, fixed in place, etc. [probably scandinavian]

Luggage  n. Suitcases, bags, etc., for a traveller's belongings. [from *lug]

Lugger  n. Small ship with four-cornered sails. [from *lugsail]

Lughole  n. Slang ear.

Lugsail  n. Four-cornered sail on a yard. [probably from *lug]

Lugubrious  adj. Doleful.  lugubriously adv. Lugubriousness n. [latin lugeo mourn]

Lugworm  n. Large marine worm used as bait. [origin unknown]

Lukewarm  adj. 1 moderately warm; tepid. 2 unenthusiastic, indifferent. [old english (now dial.) Luke warm, *warm]

Lull  —v. 1 soothe or send to sleep. 2 (usu. Foll. By into) deceive (a person) into undue confidence (lulled into a false sense of security). 3 allay (suspicions etc.), usu. By deception. 4 (of noise, a storm, etc.) Abate or fall quiet. —n. Temporary quiet period. [imitative]

Lullaby  n. (pl. -ies) soothing song to send a child to sleep. [related to *lull]

Lumbago  n. Rheumatic pain in the muscles of the lower back. [latin lumbus loin]

Lumbar  adj. Of the lower back area. [as *lumbago]

Lumbar puncture  n. Withdrawal of spinal fluid from the lower back for diagnosis.
Lumber  —n. 1 disused and cumbersome articles. 2 partly prepared timber. —v. 1 (usu. Foll. By with) leave (a person etc.) With something unwanted or unpleasant. 2 (usu. Foll. By up) obstruct, fill inconveniently. 3 cut and prepare forest timber. 4 move in a slow clumsy way. [origin uncertain]

Lumberjack  n. Person who fells and transports lumber.

Lumber-jacket  n. Jacket of the kind worn by lumberjacks.

Lumber-room  n. Room where disused things are kept.

Luminary  n. (pl. -ies) 1 literary natural light-giving body. 2 wise or inspiring person. 3 celebrated member of a group (show-business luminaries). [latin lumen lumin- light]

Luminescence  n. Emission of light without heat.  luminescent adj.

Luminous  adj. 1 shedding light. 2 phosphorescent, visible in darkness (luminous paint).  luminosity n.

Lump1  —n. 1 compact shapeless mass. 2 tumour; swelling, bruise. 3 heavy, dull, or ungainly person. 4 (prec. By the) slang casual workers in the building trade. —v. 1 (usu. Foll. By together etc.) Treat as all alike; put together in a lump. 2 (of sauce etc.) Become lumpy.  lump in the throat feeling of pressure there, caused by emotion. [scandinavian]

Lump2  v. Colloq. Put up with ungraciously (like it or lump it). [imitative]

Lumpectomy  n. (pl. -ies) surgical removal of a lump from the breast.

Lumpish  adj. 1 heavy and clumsy. 2 stupid, lethargic.

Lump sugar  n. Sugar in cubes.

Lump sum  n. 1 sum covering a number of items. 2 money paid down at once.

Lumpy  adj. (-ier, -iest) full of or covered with lumps.  lumpily adv. Lumpiness n.

Lunacy  n. (pl. -ies) 1 insanity. 2 mental unsoundness. 3 great folly. [latin: related to *lunar]

Lunar  adj. Of, like, concerned with, or determined by the moon. [latin luna moon]

Lunar module  n. Small craft for travelling between the moon and a spacecraft in orbit around it.

Lunar month  n. 1 period of the moon's revolution, esp. The interval between new moons (about 291/2 days). 2 (in general use) four weeks.

Lunate  adj. Crescent-shaped.

Lunatic  —n. 1 insane person. 2 wildly foolish person. —adj. Insane; extremely reckless or foolish. [related to *lunacy]

Lunatic asylum  n. Hist. Mental home or hospital.

Lunatic fringe  n. Extreme or eccentric minority group.

Lunation  n. Interval between new moons, about 291/2 days. [medieval latin: related to *lunar]

Lunch  —n. Midday meal. —v. 1 take lunch. 2 entertain to lunch. [shortening of *luncheon]

Luncheon  n. Formal lunch. [origin unknown]

Luncheon meat  n. Tinned meat loaf of pork etc.

Luncheon voucher  n. Voucher issued to employees and exchangeable for food at many restaurants and shops.

Lung  n. Either of the pair of respiratory organs in humans and many other vertebrates. [old english: related to *light2]

Lunge  —n. 1 sudden movement forward. 2 the basic attacking move in fencing. 3 long rope on which a horse is held and made to circle round its trainer. —v. (-ging) (usu. Foll. By at, out) deliver or make a lunge. [french allonger from long *long1]

Lupin  n. Cultivated plant with long tapering spikes of flowers. [related to *lupine]

Lupine  adj. Of or like wolves. [latin lupinus from lupus wolf]

Lupus  n. Autoimmune inflammatory skin disease. [latin, = wolf]

Lurch1  —n. Stagger; sudden unsteady movement or leaning. —v. Stagger; move or progress unsteadily. [originally naut., of uncertain origin]

Lurch2  n.  leave in the lurch desert (a friend etc.) In difficulties. [obsolete french lourche a kind of backgammon]

Lurcher  n. Crossbred dog, usu. A working dog crossed with a greyhound. [related to *lurk]

Lure  —v. (-ring) 1 (usu. Foll. By away, into) entice. 2 recall with a lure. —n. 1 thing used to entice. 2 (usu. Foll. By of) enticing quality (of a pursuit etc.). 3 falconer's apparatus for recalling a hawk. [french from germanic]
Lurex  n. Propr. 1 type of yarn incorporating a glittering metallic thread. 2 fabric made from this.

Lurid  adj. 1 bright and glaring in colour. 2 sensational, shocking (lurid details). 3 ghastly, wan (lurid complexion).  luridly adv. [latin]

Lurk  v. 1 linger furtively. 2 a lie in ambush. B (usu. Foll. By in, under, about, etc.) Hide, esp. For sinister purposes. 3 (as lurking adj.) Dormant (a lurking suspicion). [perhaps from *lour]

Luscious  adj. 1 richly sweet in taste or smell. 2 (of style) over-rich. 3 voluptuously attractive. [perhaps related to *delicious]

Lush1  adj. 1 (of vegetation) luxuriant and succulent. 2 luxurious. 3 slang excellent. [origin uncertain]

Lush2  n. Slang alcoholic, drunkard. [origin uncertain]

Lust  —n. 1 strong sexual desire. 2 (usu. Foll. By for, of) passionate desire for or enjoyment of (lust for power; lust of battle). 3 sensuous appetite regarded as sinful (lusts of the flesh). —v. (usu. Foll. By after, for) have a strong or excessive (esp. Sexual) desire.  lustful adj. Lustfully adv. [old english]

Luster  n. (brit. Lustre) 1 gloss, shining surface. 2 brilliance, splendour. 3 iridescent glaze on pottery and porcelain.  lustrous adj. [latin lustro illumine]

Lustre  n. (us luster) 1 gloss, shining surface. 2 brilliance, splendour. 3 iridescent glaze on pottery and porcelain.  lustrous adj. [latin lustro illumine]

Lusty  adj. (-ier, -iest) 1 healthy and strong. 2 vigorous, lively.  lustily adv. Lustiness n. [from *lust]

Lutanist  var. Of *lutenist.

Lute1  n. Guitar-like instrument with a long neck and a pear-shaped body. [arabic]

Lute2  —n. Clay or cement for making joints airtight etc. —v. (-ting) apply lute to. [latin lutum mud]

Lutenist  n. (also lutanist) lute-player. [related to *lute1]

Lutetium  n. Silvery metallic element, the heaviest of the lanthanide series. [lutetia, ancient name of paris]

Lutheran  —n. 1 follower of luther. 2 member of the lutheran church. —adj. Of luther, or the protestant reformation and the doctrines associated with him.  lutheranism n. [martin luther, religious reformer]

Lux  n. (pl. Same)  the si unit of illumination. [latin]

Luxuriant  adj. 1 growing profusely. 2 exuberant. 3 florid.  luxuriance n. Luxuriantly adv. [latin: related to *luxury]

Usage  luxuriant is sometimes confused with luxurious.

Luxuriate  v. (-ting) 1 (foll. By in) take self-indulgent delight in, enjoy as a luxury. 2 relax in comfort.

Luxurious  adj. 1 supplied with luxuries. 2 extremely comfortable. 3 fond of luxury.  luxuriously adv. [latin: related to *luxury]

Usage  luxurious is sometimes confused with luxuriant.

Luxury  n. (pl. -ies) 1 choice or costly surroundings, possessions, etc. 2 thing giving comfort or enjoyment but not essential. 3 (attrib.) Comfortable and expensive (luxury flat). [latin luxus abundance]

Lv  abbr. Luncheon voucher.

Lw  symb. Lawrencium.
-ly1  suffix forming adjectives, esp. From nouns, meaning: 1 having the qualities of (princely). 2 recurring at intervals of (daily). [old english]

-ly2  suffix forming adverbs from adjectives (boldly; happily). [old english]

Lychee  n. (also litchi, lichee) 1 sweet white juicy fruit in a brown skin. 2 tree, orig. From china, bearing this. [chinese]

Lych-gate  var. Of *lich-gate.

Lycra  n. Propr. Elastic polyurethane fabric used esp. For sportswear.

Lye  n. 1 water made alkaline with wood ashes. 2 any alkaline solution for washing. [old english]

Lying  pres. Part. Of *lie1, *lie2.

Lymph  n. 1 colourless fluid from the tissues of the body, containing white blood cells. 2 this fluid used as a vaccine. [latin lympha]

Lymphatic  adj. 1 of, secreting, or conveying lymph. 2 (of a person) pale, flabby, or sluggish.

Lymphatic system  n. Network of vessels conveying lymph.

Lymph gland  n. (also lymph node) small mass of tissue in the lymphatic system.

Lymphoma  n. (pl. -s or -mata) tumour of the lymph nodes.

Lynch  v. (of a mob) put (a person) to death without a legal trial.  lynching n. [originally us, after lynch, 18th-c. Justice of the peace in virginia]

Lynch law  n. Procedure followed when a person is lynched.

Lynx  n. (pl. Same or -s) wild cat with a short tail and spotted fur. [greek lugx]

Lynx-eyed  adj. Keen-sighted.

Lyre  n. Ancient u-shaped stringed instrument. [greek lura]

Lyre-bird  n. Australian bird, the male of which has a lyre-shaped tail display.

Lyric  —adj. 1 (of poetry) expressing the writer's emotions, usu. Briefly and in stanzas. 2 (of a poet) writing in this manner. 3 meant or fit to be sung, songlike. —n. 1 lyric poem. 2 (in pl.) Words of a song. [latin: related to *lyre]

Lyrical  adj. 1 = *lyric. 2 resembling, or using language appropriate to, lyric poetry. 3 colloq. Highly enthusiastic (wax lyrical about).  lyrically adv.

Lyricism  n. Quality of being lyric.

Lyricist  n. Writer of (esp. Popular) lyrics.

Lysergic acid diethylamide  n. = *lsd. [from hydrolysis, ergot, *-ic]

-lysis  comb. Form forming nouns denoting disintegration or decomposition (electrolysis). [greek lusis loosening]

-lyte  suffix forming nouns denoting substances that can be decomposed (electrolyte). [greek lutos loosened]
